****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
115 (QN/Block) 	Elapsed: 21.156	Loglikelihood: -1.40167e+08	(delta): 0.010314
116 (QN/Block) 	Elapsed: 22.749	Loglikelihood: -1.40167e+08	(delta): 0.275169
117 (QN/Block) 	Elapsed: 19.894	Loglikelihood: -1.40167e+08	(delta): 0.0903916
118 (QN/Block) 	Elapsed: 20.776	Loglikelihood: -1.40167e+08	(delta): 0.0835737
119 (QN/Block) 	Elapsed: 23.488	Loglikelihood: -1.40167e+08	(delta): 0.023792
120 (QN/Block) 	Elapsed: 23.728	Loglikelihood: -1.40167e+08	(delta): 0.0221641
121 (QN/Block) 	Elapsed: 24.626	Loglikelihood: -1.40167e+08	(delta): 0.0197651
122 (QN/Block) 	Elapsed: 19.973	Loglikelihood: -1.40167e+08	(delta): 0.124383
123 (QN/Block) 	Elapsed: 21.823	Loglikelihood: -1.40167e+08	(delta): 0.0465124
124 (QN/Block) 	Elapsed: 23.956	Loglikelihood: -1.40167e+08	(delta): 0.0120031
125 (QN/Block) 	Elapsed: 23.304	Loglikelihood: -1.40167e+08	(delta): 0.00901997
126 (QN/Block) 	Elapsed: 23.302	Loglikelihood: -1.40167e+08	(delta): 0.0140761
127 (QN/Block) 	Elapsed: 21.716	Loglikelihood: -1.40167e+08	(delta): 0.0449297
128 (QN/Block) 	Elapsed: 23.466	Loglikelihood: -1.40167e+08	(delta): 0.134526
129 (QN/Block) 	Elapsed: 23.687	Loglikelihood: -1.40167e+08	(delta): 0.0254863
